5.26km/h, 0.00 V, -0.81A , 13:5:27
55.49km/h, 76.36 V, -10.56A , 13:35:2
55.53km/h, 76.33 V, -10.38A , 13:35:2
55.60km/h, 76.32 V, -10.37A , 13:35:2
55.61km/h, 76.17 V, -10.38A , 13:35:2
55.57km/h, 76.25 V, -10.28A , 13:35:2
55.56km/h, 76.24 V, -10.43A , 13:35:2
55.55km/h, 76.18 V, -10.55A , 13:35:2
55.58km/h, 76.37 V, -10.26A , 13:35:2
55.54km/h, 76.43 V, -10.25A , 13:35:2
55.53km/h, 76.42 V, -10.28A , 13:35:2
55.53km/h, 76.33 V, -10.14A , 13:35:2
55.47km/h, 76.36 V, -10.26A , 13:35:2
55.43km/h, 76.40 V, -10.22A , 13:35:2
55.39km/h, 76.41 V, -10.10A , 13:35:2
55.37km/h, 76.21 V, -10.34A , 13:35:2
55.39km/h, 76.30 V, -10.34A , 13:35:2
55.44km/h, 76.29 V, -10.17A , 13:35:2
55.43km/h, 76.24 V, -10.24A , 13:35:2
55.44km/h, 76.20 V, -10.09A , 13:35:2
55.44km/h, 76.24 V, -9.90A , 13:35:2
55.44km/h, 76.26 V, -9.98A , 13:35:2
55.44km/h, 76.26 V, -9.99A , 13:35:2
55.46km/h, 76.26 V, -9.94A , 13:35:3
55.49km/h, 76.18 V, -10.12A , 13:35:3
55.49km/h, 76.32 V, -9.93A , 13:35:3
55.47km/h, 76.33 V, -9.94A , 13:35:3
55.42km/h, 76.32 V, -10.10A , 13:35:3
55.42km/h, 76.20 V, -10.21A , 13:35:3
55.41km/h, 76.14 V, -10.49A , 13:35:3
55.43km/h, 76.24 V, -10.62A , 13:35:3
55.43km/h, 76.29 V, -10.48A , 13:35:3
55.45km/h, 76.34 V, -10.42A , 13:35:3
55.42km/h, 76.51 V, -10.41A , 13:35:3
55.38km/h, 76.65 V, -10.19A , 13:35:3
55.37km/h, 76.56 V, -10.26A , 13:35:3
55.37km/h, 76.53 V, -10.20A , 13:35:3
55.34km/h, 76.54 V, -10.19A , 13:35:3
55.32km/h, 76.58 V, -10.27A , 13:35:3
55.34km/h, 76.59 V, -10.14A , 13:35:3
55.33km/h, 76.49 V, -9.99A , 13:35:3
55.35km/h, 76.52 V, -10.08A , 13:35:3
55.35km/h, 76.48 V, -10.03A , 13:35:3
55.37km/h, 76.45 V, -9.94A , 13:35:3
55.38km/h, 76.38 V, -10.14A , 13:35:3
55.39km/h, 76.39 V, -10.02A , 13:35:3
55.39km/h, 76.36 V, -9.99A , 13:35:3
55.42km/h, 76.28 V, -10.14A , 13:35:4
55.45km/h, 76.22 V, -10.02A , 13:35:4
55.41km/h, 76.26 V, -10.08A , 13:35:4
55.42km/h, 76.33 V, -10.30A , 13:35:4
55.38km/h, 76.44 V, -10.32A , 13:35:4
55.38km/h, 76.59 V, -10.36A , 13:35:4
55.41km/h, 76.47 V, -10.45A , 13:35:4
55.44km/h, 76.53 V, -10.40A , 13:35:4
55.46km/h, 76.47 V, -10.47A , 13:35:4
55.46km/h, 76.40 V, -10.58A , 13:35:4
55.47km/h, 76.43 V, -10.35A , 13:35:4
55.49km/h, 76.43 V, -10.44A , 13:35:4
55.53km/h, 76.54 V, -10.43A , 13:35:4
55.55km/h, 76.39 V, -10.20A , 13:35:4
55.58km/h, 76.21 V, -10.30A , 13:35:4
55.60km/h, 76.20 V, -10.20A , 13:35:4
55.58km/h, 76.37 V, -10.11A , 13:35:4
55.59km/h, 76.22 V, -10.48A , 13:35:4
55.61km/h, 76.26 V, -10.50A , 13:35:4
55.66km/h, 76.24 V, -10.51A , 13:35:4
55.70km/h, 76.26 V, -10.54A , 13:35:4
55.65km/h, 76.31 V, -10.34A , 13:35:4
55.62km/h, 76.15 V, -10.47A , 13:35:4
55.57km/h, 76.20 V, -10.69A , 13:35:4
55.57km/h, 76.39 V, -10.48A , 13:35:4
55.54km/h, 76.30 V, -10.59A , 13:35:5
55.52km/h, 76.21 V, -10.77A , 13:35:5
55.49km/h, 76.33 V, -10.40A , 13:35:5
55.50km/h, 76.35 V, -10.30A , 13:35:5
55.47km/h, 76.36 V, -10.28A , 13:35:5
55.42km/h, 76.38 V, -10.19A , 13:35:5
55.43km/h, 76.43 V, -10.24A , 13:35:5
55.40km/h, 76.45 V, -10.14A , 13:35:5
55.38km/h, 76.60 V, -10.02A , 13:35:5
55.35km/h, 76.55 V, -10.17A , 13:35:5
55.35km/h, 76.53 V, -10.23A , 13:35:5
55.38km/h, 76.46 V, -10.19A , 13:35:5
55.44km/h, 76.48 V, -10.24A , 13:35:5
55.42km/h, 76.69 V, -10.12A , 13:35:5
55.39km/h, 76.81 V, -10.03A , 13:35:5
55.41km/h, 76.87 V, -10.28A , 13:35:5
55.45km/h, 76.82 V, -10.21A , 13:35:5
55.49km/h, 76.76 V, -10.10A , 13:35:5
55.55km/h, 76.69 V, -10.24A , 13:35:5
55.62km/h, 76.60 V, -10.11A , 13:35:5
55.63km/h, 76.56 V, -10.05A , 13:35:5
55.60km/h, 76.43 V, -10.07A , 13:35:5
55.55km/h, 76.42 V, -10.01A , 13:35:5
55.53km/h, 76.19 V, -10.23A , 13:35:5
55.58km/h, 76.17 V, -10.31A , 13:35:6
55.55km/h, 76.21 V, -10.03A , 13:35:6
55.52km/h, 76.33 V, -10.08A , 13:35:6
55.46km/h, 76.36 V, -10.22A , 13:35:6
55.40km/h, 76.39 V, -10.08A , 13:35:6
55.36km/h, 76.40 V, -10.26A , 13:35:6
55.37km/h, 76.36 V, -10.30A , 13:35:6
55.37km/h, 76.61 V, -10.04A , 13:35:6
55.40km/h, 76.60 V, -10.08A , 13:35:6
55.42km/h, 76.79 V, -9.98A , 13:35:6
55.42km/h, 76.78 V, -9.87A , 13:35:6
55.44km/h, 76.72 V, -9.96A , 13:35:6
55.44km/h, 76.60 V, -9.95A , 13:35:6
55.49km/h, 76.49 V, -9.92A , 13:35:6
55.53km/h, 76.37 V, -10.06A , 13:35:6
55.57km/h, 76.36 V, -9.80A , 13:35:6
55.55km/h, 76.46 V, -9.78A , 13:35:6
55.54km/h, 76.34 V, -10.07A , 13:35:6
55.53km/h, 76.26 V, -10.07A , 13:35:6
55.51km/h, 76.04 V, -10.09A , 13:35:6
55.47km/h, 75.93 V, -10.23A , 13:35:6
55.47km/h, 76.03 V, -10.13A , 13:35:6
55.47km/h, 76.14 V, -10.07A , 13:35:6
55.43km/h, 76.30 V, -10.08A , 13:35:6
55.40km/h, 76.45 V, -9.92A , 13:35:6
55.36km/h, 76.55 V, -10.04A , 13:35:7
55.33km/h, 76.49 V, -10.23A , 13:35:7
55.36km/h, 76.46 V, -10.09A , 13:35:7
55.35km/h, 76.62 V, -9.95A , 13:35:7
55.33km/h, 76.86 V, -9.88A , 13:35:7
55.34km/h, 77.03 V, -9.75A , 13:35:7
55.33km/h, 76.96 V, -9.88A , 13:35:7
55.32km/h, 76.85 V, -9.88A , 13:35:7
55.32km/h, 76.76 V, -9.80A , 13:35:7
55.33km/h, 76.67 V, -10.12A , 13:35:7
55.36km/h, 76.51 V, -10.11A , 13:35:7
55.41km/h, 76.65 V, -9.86A , 13:35:7
55.41km/h, 76.69 V, -9.89A , 13:35:7
55.42km/h, 76.59 V, -9.95A , 13:35:7
55.43km/h, 76.46 V, -10.15A , 13:35:7
55.42km/h, 76.35 V, -10.34A , 13:35:7
55.45km/h, 76.29 V, -10.41A , 13:35:7
55.46km/h, 76.28 V, -10.44A , 13:35:7
55.51km/h, 76.40 V, -10.50A , 13:35:7
55.52km/h, 76.43 V, -10.19A , 13:35:7
55.51km/h, 76.40 V, -10.28A , 13:35:7
55.50km/h, 76.33 V, -10.46A , 13:35:7
55.50km/h, 76.29 V, -10.46A , 13:35:7
55.48km/h, 76.24 V, -10.47A , 13:35:7
55.50km/h, 76.37 V, -10.27A , 13:35:8
55.48km/h, 76.35 V, -10.04A , 13:35:8
55.46km/h, 76.32 V, -10.05A , 13:35:8
55.45km/h, 76.33 V, -9.99A , 13:35:8
55.44km/h, 76.20 V, -10.00A , 13:35:8
55.45km/h, 76.10 V, -10.23A , 13:35:8
55.44km/h, 76.20 V, -10.06A , 13:35:8
55.44km/h, 76.38 V, -9.83A , 13:35:8
55.40km/h, 76.46 V, -9.69A , 13:35:8
55.35km/h, 76.56 V, -9.59A , 13:35:8
55.29km/h, 76.49 V, -9.60A , 13:35:8
55.24km/h, 76.53 V, -9.66A , 13:35:8
55.16km/h, 76.66 V, -9.37A , 13:35:8
55.05km/h, 76.68 V, -9.29A , 13:35:8
54.89km/h, 76.69 V, -9.18A , 13:35:8
54.76km/h, 76.81 V, -8.86A , 13:35:8
54.60km/h, 76.88 V, -8.80A , 13:35:8
54.44km/h, 76.68 V, -8.90A , 13:35:8
54.32km/h, 76.58 V, -8.87A , 13:35:8
54.19km/h, 76.59 V, -8.82A , 13:35:8
54.03km/h, 76.41 V, -8.90A , 13:35:8
53.90km/h, 76.40 V, -8.78A , 13:35:8
53.78km/h, 76.35 V, -8.88A , 13:35:8
53.67km/h, 76.35 V, -8.90A , 13:35:8
53.60km/h, 76.45 V, -8.80A , 13:35:8
53.51km/h, 76.36 V, -8.89A , 13:35:9
53.41km/h, 76.36 V, -8.82A , 13:35:9
53.35km/h, 76.42 V, -8.67A , 13:35:9
53.27km/h, 76.63 V, -8.80A , 13:35:9
53.21km/h, 76.61 V, -8.85A , 13:35:9
53.18km/h, 76.69 V, -8.82A , 13:35:9
53.15km/h, 76.72 V, -8.95A , 13:35:9
53.13km/h, 76.75 V, -8.85A , 13:35:9
53.13km/h, 76.70 V, -8.91A , 13:35:9
53.13km/h, 76.66 V, -9.09A , 13:35:9
53.11km/h, 76.78 V, -8.99A , 13:35:9
53.09km/h, 76.69 V, -9.12A , 13:35:9
53.08km/h, 76.53 V, -9.35A , 13:35:9
53.08km/h, 76.33 V, -9.27A , 13:35:9
53.05km/h, 76.25 V, -9.26A , 13:35:9
53.06km/h, 76.20 V, -9.28A , 13:35:9
53.05km/h, 76.16 V, -9.18A , 13:35:9
53.01km/h, 76.11 V, -9.32A , 13:35:9
52.99km/h, 76.08 V, -9.46A , 13:35:9
52.97km/h, 76.05 V, -9.39A , 13:35:9
52.98km/h, 75.94 V, -9.43A , 13:35:9
52.97km/h, 75.86 V, -9.55A , 13:35:9
52.97km/h, 76.10 V, -9.29A , 13:35:9
52.95km/h, 76.16 V, -9.37A , 13:35:10
52.99km/h, 76.20 V, -9.55A , 13:35:10
53.06km/h, 76.23 V, -9.73A , 13:35:10
53.18km/h, 76.23 V, -10.11A , 13:35:10
53.36km/h, 76.38 V, -10.14A , 13:35:10
53.54km/h, 76.50 V, -10.12A , 13:35:10
53.73km/h, 76.55 V, -10.32A , 13:35:10
53.92km/h, 76.53 V, -10.39A , 13:35:10
54.14km/h, 76.63 V, -10.39A , 13:35:10
54.34km/h, 76.56 V, -10.67A , 13:35:10
54.55km/h, 76.47 V, -10.74A , 13:35:10
54.77km/h, 76.53 V, -10.81A , 13:35:10
54.97km/h, 76.42 V, -10.94A , 13:35:10
55.12km/h, 76.59 V, -10.65A , 13:35:10
55.21km/h, 76.50 V, -10.70A , 13:35:10
55.28km/h, 76.36 V, -10.73A , 13:35:10
55.36km/h, 76.41 V, -10.52A , 13:35:10
55.42km/h, 76.39 V, -10.58A , 13:35:10
55.50km/h, 76.33 V, -10.62A , 13:35:10
55.54km/h, 76.27 V, -10.58A , 13:35:10
55.62km/h, 76.28 V, -10.50A , 13:35:10
55.62km/h, 76.27 V, -10.42A , 13:35:10
55.60km/h, 76.35 V, -10.12A , 13:35:10
55.56km/h, 76.10 V, -10.24A , 13:35:10
55.57km/h, 76.08 V, -10.11A , 13:35:10
55.57km/h, 76.21 V, -9.94A , 13:35:11
55.53km/h, 76.16 V, -10.02A , 13:35:11
55.48km/h, 76.43 V, -9.72A , 13:35:11
55.42km/h, 76.59 V, -9.53A , 13:35:11
55.38km/h, 76.54 V, -9.73A , 13:35:11
55.36km/h, 76.58 V, -9.76A , 13:35:11
55.41km/h, 76.63 V, -9.65A , 13:35:11
55.41km/h, 76.71 V, -9.75A , 13:35:11
55.45km/h, 76.78 V, -9.58A , 13:35:11
55.43km/h, 76.80 V, -9.72A , 13:35:11
55.44km/h, 76.68 V, -9.83A , 13:35:11
55.46km/h, 76.60 V, -9.81A , 13:35:11
55.49km/h, 76.40 V, -9.99A , 13:35:11
55.50km/h, 76.25 V, -10.12A , 13:35:11
55.49km/h, 76.16 V, -9.94A , 13:35:11
55.46km/h, 76.12 V, -9.98A , 13:35:11
55.43km/h, 75.94 V, -10.19A , 13:35:11
55.47km/h, 75.87 V, -10.05A , 13:35:11
55.45km/h, 75.90 V, -10.10A , 13:35:11
55.50km/h, 75.76 V, -10.10A , 13:35:11
55.49km/h, 75.80 V, -10.03A , 13:35:11
55.46km/h, 75.87 V, -9.94A , 13:35:11
55.42km/h, 75.83 V, -9.95A , 13:35:11
55.44km/h, 75.83 V, -9.92A , 13:35:11
55.44km/h, 75.89 V, -9.96A , 13:35:12
55.43km/h, 75.93 V, -9.69A , 13:35:12
55.44km/h, 76.00 V, -9.48A , 13:35:12
55.38km/h, 75.95 V, -9.71A , 13:35:12
55.33km/h, 75.93 V, -9.67A , 13:35:12
55.27km/h, 76.10 V, -9.57A , 13:35:12
55.26km/h, 76.10 V, -9.80A , 13:35:12
55.27km/h, 76.10 V, -9.96A , 13:35:12
55.32km/h, 76.13 V, -9.94A , 13:35:12
55.34km/h, 76.12 V, -9.99A , 13:35:12
55.36km/h, 76.13 V, -9.80A , 13:35:12
55.37km/h, 76.13 V, -9.87A , 13:35:12
55.33km/h, 76.08 V, -10.02A , 13:35:12
55.33km/h, 76.10 V, -9.90A , 13:35:12
55.34km/h, 76.07 V, -10.00A , 13:35:12
55.36km/h, 75.94 V, -10.07A , 13:35:12
55.37km/h, 76.00 V, -9.88A , 13:35:12
55.40km/h, 75.90 V, -9.86A , 13:35:12
55.39km/h, 75.83 V, -10.04A , 13:35:12
55.40km/h, 75.95 V, -9.94A , 13:35:12
55.41km/h, 75.95 V, -9.98A , 13:35:12
55.42km/h, 75.96 V, -9.92A , 13:35:12
55.41km/h, 76.03 V, -9.71A , 13:35:12
55.45km/h, 76.06 V, -9.68A , 13:35:12
55.42km/h, 76.09 V, -9.54A , 13:35:12
55.42km/h, 76.04 V, -9.48A , 13:35:13
55.43km/h, 75.91 V, -9.55A , 13:35:13
55.41km/h, 75.94 V, -9.39A , 13:35:13
55.38km/h, 75.95 V, -9.18A , 13:35:13
55.35km/h, 75.80 V, -9.49A , 13:35:13
55.37km/h, 75.77 V, -9.57A , 13:35:13
55.37km/h, 75.82 V, -9.76A , 13:35:13
55.42km/h, 75.91 V, -9.92A , 13:35:13
55.41km/h, 76.06 V, -9.78A , 13:35:13
55.44km/h, 76.03 V, -9.83A , 13:35:13
55.43km/h, 76.10 V, -9.88A , 13:35:13
55.44km/h, 76.20 V, -9.83A , 13:35:13
55.43km/h, 76.18 V, -9.95A , 13:35:13
55.46km/h, 76.20 V, -10.12A , 13:35:13
55.46km/h, 76.34 V, -9.96A , 13:35:13
55.44km/h, 76.45 V, -9.94A , 13:35:13
55.46km/h, 76.43 V, -9.95A , 13:35:13
55.45km/h, 76.36 V, -9.83A , 13:35:13
55.43km/h, 76.34 V, -9.90A , 13:35:13
55.43km/h, 76.35 V, -9.80A , 13:35:13
55.41km/h, 76.29 V, -9.74A , 13:35:13
55.41km/h, 76.24 V, -9.71A , 13:35:13
55.37km/h, 76.21 V, -9.62A , 13:35:13
55.38km/h, 76.21 V, -9.56A , 13:35:13
55.36km/h, 76.10 V, -9.56A , 13:35:13
55.36km/h, 76.03 V, -9.47A , 13:35:14
55.33km/h, 75.99 V, -9.39A , 13:35:14
55.29km/h, 75.86 V, -9.66A , 13:35:14
55.29km/h, 75.74 V, -9.62A , 13:35:14
55.26km/h, 75.73 V, -9.81A , 13:35:14
55.29km/h, 75.66 V, -10.07A , 13:35:14
55.30km/h, 75.73 V, -10.10A , 13:35:14
55.33km/h, 75.83 V, -10.13A , 13:35:14
55.32km/h, 75.88 V, -10.09A , 13:35:14
55.35km/h, 76.10 V, -9.97A , 13:35:14
55.35km/h, 76.06 V, -10.09A , 13:35:14
55.37km/h, 76.02 V, -10.18A , 13:35:14
55.40km/h, 76.16 V, -9.91A , 13:35:14
55.39km/h, 76.19 V, -9.92A , 13:35:14
55.42km/h, 76.37 V, -9.89A , 13:35:14
55.40km/h, 76.48 V, -9.76A , 13:35:14
55.36km/h, 76.39 V, -9.87A , 13:35:14
55.42km/h, 76.32 V, -9.90A , 13:35:14
55.45km/h, 76.38 V, -9.83A , 13:35:14
55.47km/h, 76.15 V, -9.87A , 13:35:14
55.48km/h, 76.36 V, -9.75A , 13:35:14
55.49km/h, 76.35 V, -9.72A , 13:35:14
55.52km/h, 76.26 V, -9.87A , 13:35:14
55.54km/h, 76.23 V, -9.86A , 13:35:14
55.55km/h, 76.09 V, -9.78A , 13:35:15
55.56km/h, 76.02 V, -9.71A , 13:35:15
55.54km/h, 76.04 V, -9.60A , 13:35:15
55.49km/h, 76.01 V, -9.74A , 13:35:15
55.47km/h, 75.96 V, -10.00A , 13:35:15
55.48km/h, 76.19 V, -9.99A , 13:35:15
55.46km/h, 76.11 V, -9.97A , 13:35:15
55.45km/h, 76.13 V, -10.00A , 13:35:15
55.43km/h, 76.16 V, -9.85A , 13:35:15
55.38km/h, 76.13 V, -9.91A , 13:35:15
55.34km/h, 76.08 V, -10.09A , 13:35:15
55.33km/h, 76.14 V, -10.02A , 13:35:15
55.34km/h, 76.21 V, -10.02A , 13:35:15
55.32km/h, 76.40 V, -9.84A , 13:35:15
55.28km/h, 76.40 V, -9.70A , 13:35:15
55.24km/h, 76.28 V, -9.89A , 13:35:15
55.25km/h, 76.17 V, -9.80A , 13:35:15
55.25km/h, 76.35 V, -9.67A , 13:35:15
55.26km/h, 76.33 V, -9.78A , 13:35:15
55.30km/h, 76.45 V, -9.76A , 13:35:15
55.34km/h, 76.49 V, -9.55A , 13:35:15
55.37km/h, 76.44 V, -9.65A , 13:35:15
55.37km/h, 76.40 V, -9.54A , 13:35:15
55.38km/h, 76.20 V, -9.51A , 13:35:15
55.38km/h, 76.10 V, -9.61A , 13:35:15
55.41km/h, 75.99 V, -9.55A , 13:35:16
55.40km/h, 75.97 V, -9.70A , 13:35:16
55.42km/h, 75.92 V, -9.85A , 13:35:16
55.42km/h, 75.95 V, -9.69A , 13:35:16
55.43km/h, 75.90 V, -9.79A , 13:35:16
55.42km/h, 75.85 V, -9.91A , 13:35:16
55.43km/h, 76.00 V, -9.93A , 13:35:16
55.45km/h, 75.99 V, -9.97A , 13:35:16
55.48km/h, 76.11 V, -9.86A , 13:35:16
55.50km/h, 76.20 V, -9.66A , 13:35:16
55.47km/h, 76.21 V, -9.61A , 13:35:16
55.47km/h, 76.23 V, -9.65A , 13:35:16
55.44km/h, 76.23 V, -9.47A , 13:35:16
55.42km/h, 76.31 V, -9.72A , 13:35:16
55.39km/h, 76.43 V, -9.54A , 13:35:16
55.36km/h, 76.54 V, -9.41A , 13:35:16
55.35km/h, 76.40 V, -9.56A , 13:35:16
55.36km/h, 76.43 V, -9.65A , 13:35:16
55.38km/h, 76.41 V, -9.87A , 13:35:16
55.39km/h, 76.42 V, -9.95A , 13:35:16
55.38km/h, 76.40 V, -9.79A , 13:35:16
55.36km/h, 76.48 V, -9.69A , 13:35:16
55.34km/h, 76.40 V, -9.81A , 13:35:16
55.34km/h, 76.28 V, -9.75A , 13:35:16
55.35km/h, 76.10 V, -9.85A , 13:35:17
55.38km/h, 76.03 V, -10.05A , 13:35:17
55.40km/h, 76.13 V, -9.85A , 13:35:17
55.37km/h, 76.08 V, -9.86A , 13:35:17
55.33km/h, 76.01 V, -9.82A , 13:35:17
55.35km/h, 76.00 V, -9.65A , 13:35:17
55.34km/h, 76.13 V, -9.71A , 13:35:17
55.34km/h, 76.12 V, -9.61A , 13:35:17
55.33km/h, 76.14 V, -9.63A , 13:35:17
55.36km/h, 76.20 V, -9.75A , 13:35:17
55.37km/h, 76.20 V, -9.71A , 13:35:17
55.41km/h, 76.26 V, -9.55A , 13:35:17
55.40km/h, 76.20 V, -9.64A , 13:35:17
55.44km/h, 76.39 V, -9.46A , 13:35:17
55.44km/h, 76.41 V, -9.38A , 13:35:17
55.42km/h, 76.37 V, -9.71A , 13:35:17
55.43km/h, 76.43 V, -9.72A , 13:35:17
55.48km/h, 76.37 V, -9.96A , 13:35:17
55.54km/h, 76.31 V, -9.96A , 13:35:17
55.55km/h, 76.30 V, -9.69A , 13:35:17
55.54km/h, 76.32 V, -9.74A , 13:35:17
55.50km/h, 76.40 V, -9.90A , 13:35:17
55.47km/h, 76.40 V, -9.78A , 13:35:17
55.48km/h, 76.30 V, -9.94A , 13:35:17
55.48km/h, 76.28 V, -10.08A , 13:35:17
55.50km/h, 76.30 V, -9.85A , 13:35:18
55.49km/h, 76.33 V, -9.90A , 13:35:18
55.45km/h, 76.36 V, -9.71A , 13:35:18
55.42km/h, 76.40 V, -9.73A , 13:35:18
55.42km/h, 76.40 V, -9.95A , 13:35:18
55.44km/h, 76.42 V, -9.77A , 13:35:18
55.45km/h, 76.27 V, -9.58A , 13:35:18
55.44km/h, 76.31 V, -9.63A , 13:35:18
55.41km/h, 76.36 V, -9.49A , 13:35:18
55.39km/h, 76.50 V, -9.38A , 13:35:18
55.37km/h, 76.49 V, -9.67A , 13:35:18
55.39km/h, 76.44 V, -9.62A , 13:35:18
55.40km/h, 76.51 V, -9.80A , 13:35:18
55.43km/h, 76.46 V, -9.76A , 13:35:18
55.40km/h, 76.44 V, -9.59A , 13:35:18
55.39km/h, 76.51 V, -9.78A , 13:35:18
55.40km/h, 76.45 V, -9.90A , 13:35:18
55.44km/h, 76.51 V, -9.92A , 13:35:18
55.46km/h, 76.41 V, -9.91A , 13:35:18
55.49km/h, 76.26 V, -10.02A , 13:35:18
55.49km/h, 76.30 V, -9.63A , 13:35:18
55.48km/h, 76.26 V, -9.71A , 13:35:18
55.48km/h, 76.16 V, -9.91A , 13:35:18
55.51km/h, 76.16 V, -9.99A , 13:35:18
55.54km/h, 76.14 V, -10.05A , 13:35:19
55.53km/h, 76.24 V, -9.90A , 13:35:19
55.52km/h, 76.28 V, -9.79A , 13:35:19
55.51km/h, 76.20 V, -9.76A , 13:35:19
55.52km/h, 76.36 V, -9.64A , 13:35:19
55.51km/h, 76.50 V, -9.48A , 13:35:19
55.52km/h, 76.50 V, -9.74A , 13:35:19
55.51km/h, 76.45 V, -9.62A , 13:35:19
55.53km/h, 76.43 V, -9.34A , 13:35:19
55.52km/h, 76.37 V, -9.29A , 13:35:19
55.51km/h, 76.47 V, -9.19A , 13:35:19
55.53km/h, 76.29 V, -9.23A , 13:35:19
55.53km/h, 76.27 V, -9.39A , 13:35:19
55.49km/h, 76.30 V, -9.28A , 13:35:19
55.48km/h, 76.22 V, -9.47A , 13:35:19
55.46km/h, 76.11 V, -9.66A , 13:35:19
55.46km/h, 76.01 V, -9.55A , 13:35:19
55.46km/h, 75.93 V, -9.70A , 13:35:19
55.43km/h, 75.93 V, -9.80A , 13:35:19
55.41km/h, 76.04 V, -9.81A , 13:35:19
55.38km/h, 75.96 V, -9.87A , 13:35:19
55.35km/h, 75.99 V, -9.95A , 13:35:19
55.35km/h, 76.00 V, -9.86A , 13:35:19
55.40km/h, 75.90 V, -9.98A , 13:35:19
55.41km/h, 75.78 V, -10.03A , 13:35:20
55.46km/h, 75.86 V, -9.94A , 13:35:20
55.45km/h, 75.93 V, -9.98A , 13:35:20
55.45km/h, 76.06 V, -9.77A , 13:35:20
55.45km/h, 76.13 V, -9.62A , 13:35:20
55.41km/h, 76.23 V, -9.47A , 13:35:20
55.40km/h, 76.23 V, -9.59A , 13:35:20
55.43km/h, 76.16 V, -9.67A , 13:35:20
55.44km/h, 76.20 V, -9.56A , 13:35:20
55.46km/h, 76.22 V, -9.40A , 13:35:20
55.49km/h, 76.29 V, -9.38A , 13:35:20
55.45km/h, 76.32 V, -9.30A , 13:35:20
55.42km/h, 76.46 V, -9.10A , 13:35:20
55.39km/h, 76.42 V, -9.31A , 13:35:20
55.35km/h, 76.38 V, -9.42A , 13:35:20
55.40km/h, 76.24 V, -9.58A , 13:35:20
55.42km/h, 76.15 V, -9.76A , 13:35:20
55.44km/h, 76.20 V, -9.56A , 13:35:20
55.46km/h, 76.23 V, -9.61A , 13:35:20
55.45km/h, 76.26 V, -9.83A , 13:35:20
55.44km/h, 76.21 V, -9.76A , 13:35:20
55.45km/h, 76.13 V, -9.89A , 13:35:20
55.49km/h, 76.01 V, -10.07A , 13:35:20
55.53km/h, 75.98 V, -9.91A , 13:35:20
55.56km/h, 75.96 V, -9.74A , 13:35:20
55.53km/h, 75.97 V, -9.75A , 13:35:21
55.48km/h, 76.06 V, -9.43A , 13:35:21
55.43km/h, 76.06 V, -9.64A , 13:35:21
55.41km/h, 75.95 V, -9.88A , 13:35:21
55.39km/h, 76.00 V, -9.82A , 13:35:21
55.41km/h, 76.04 V, -9.83A , 13:35:21
55.39km/h, 76.19 V, -9.93A , 13:35:21
55.40km/h, 76.26 V, -9.88A , 13:35:21
55.44km/h, 76.24 V, -9.95A , 13:35:21
55.43km/h, 76.26 V, -9.90A , 13:35:21
55.43km/h, 76.39 V, -9.76A , 13:35:21
55.49km/h, 76.42 V, -9.86A , 13:35:21
55.47km/h, 76.49 V, -9.62A , 13:35:21
55.45km/h, 76.68 V, -9.28A , 13:35:21
55.39km/h, 76.66 V, -9.41A , 13:35:21
55.38km/h, 76.61 V, -9.43A , 13:35:21
55.42km/h, 76.36 V, -9.27A , 13:35:21
55.42km/h, 76.36 V, -9.30A , 13:35:21
55.40km/h, 76.38 V, -9.19A , 13:35:21
55.44km/h, 76.32 V, -9.40A , 13:35:21
55.48km/h, 76.36 V, -9.47A , 13:35:21
55.46km/h, 76.59 V, -9.36A , 13:35:21
55.47km/h, 76.49 V, -9.54A , 13:35:21
55.48km/h, 76.38 V, -9.84A , 13:35:21
55.55km/h, 76.32 V, -9.69A , 13:35:21
55.52km/h, 76.54 V, -9.76A , 13:35:22
55.53km/h, 76.57 V, -9.81A , 13:35:22
55.51km/h, 76.64 V, -9.68A , 13:35:22
55.48km/h, 76.89 V, -9.69A , 13:35:22
55.43km/h, 77.02 V, -9.68A , 13:35:22
55.41km/h, 76.81 V, -9.81A , 13:35:22
55.41km/h, 76.52 V, -9.93A , 13:35:22
55.42km/h, 76.63 V, -9.96A , 13:35:22
55.41km/h, 76.77 V, -9.77A , 13:35:22
55.33km/h, 76.93 V, -9.77A , 13:35:22
55.31km/h, 76.92 V, -9.60A , 13:35:22
55.26km/h, 77.19 V, -9.58A , 13:35:22
55.28km/h, 77.07 V, -9.83A , 13:35:22
55.30km/h, 76.83 V, -9.84A , 13:35:22
55.34km/h, 76.92 V, -9.68A , 13:35:22
55.39km/h, 76.95 V, -9.54A , 13:35:22
55.35km/h, 77.09 V, -9.43A , 13:35:22
55.34km/h, 77.13 V, -9.22A , 13:35:22
55.35km/h, 76.96 V, -9.33A , 13:35:22
55.37km/h, 76.81 V, -9.19A , 13:35:22
55.38km/h, 76.66 V, -9.34A , 13:35:22
55.38km/h, 76.46 V, -9.44A , 13:35:22
55.34km/h, 76.38 V, -9.33A , 13:35:22
55.31km/h, 76.33 V, -9.52A , 13:35:22
55.29km/h, 76.25 V, -9.69A , 13:35:23
55.25km/h, 76.46 V, -9.66A , 13:35:23
55.22km/h, 76.48 V, -9.71A , 13:35:23
55.20km/h, 76.34 V, -9.88A , 13:35:23
55.19km/h, 76.40 V, -9.85A , 13:35:23
55.20km/h, 76.42 V, -10.03A , 13:35:23
